,date,cases,deaths,hospitalizations
565,2021-05-25,128,3,25.0
566,2022-02-08,569,9,30.0
567,2021-01-19,1083,19,67.0
568,2022-02-15,357,4,22.0
569,2021-06-16,36,1,5.0
570,2021-04-20,564,5,53.0
571,2021-06-10,39,2,17.0
572,2021-05-16,154,9,34.0
573,2021-10-12,376,6,22.0
574,2021-02-11,437,10,41.0
575,2021-07-18,92,0,7.0
576,2022-02-17,309,4,21.0
577,2022-05-17,1398,0,36.0
578,2020-12-08,2053,35,84.0
579,2022-05-28,603,2,31.0
580,2020-04-06,583,22,200.0
581,2021-11-06,315,4,18.0
582,2022-04-27,887,0,19.0
583,2021-01-18,715,14,67.0
584,2021-04-08,860,6,66.0
585,2021-10-14,361,1,35.0
586,2021-07-03,48,0,6.0
587,2021-07-25,141,3,13.0
588,2020-04-01,461,24,181.0
589,2021-08-14,405,6,46.0
590,2021-03-16,451,3,29.0
591,2020-03-27,404,8,154.0
592,2020-11-25,1833,18,110.0
593,2021-01-14,1053,15,61.0
594,2020-08-08,177,3,16.0
595,2021-11-03,519,8,33.0
596,2020-08-12,432,2,28.0
597,2022-02-28,198,0,14.0
598,2020-03-10,11,0,5.0
599,2021-05-09,166,9,49.0
600,2021-06-18,35,2,10.0
601,2021-06-15,52,3,4.0
602,2020-07-10,344,6,29.0
603,2022-03-25,238,1,10.0
604,2020-05-26,750,23,76.0
605,2021-06-04,75,6,17.0
606,2021-06-11,39,2,14.0
607,2021-08-04,498,3,32.0
608,2021-11-08,606,5,28.0
609,2020-07-15,268,7,23.0
610,2021-10-17,200,10,11.0
611,2021-08-21,373,1,48.0
612,2022-02-07,588,11,42.0
613,2022-05-14,744,1,26.0
614,2020-05-18,944,33,113.0
615,2022-07-18,888,0,
616,2020-06-17,219,21,29.0
617,2021-06-24,45,0,11.0
618,2021-06-03,95,7,16.0
619,2021-11-28,493,3,61.0
620,2021-04-03,469,9,47.0
621,2022-06-15,729,1,42.0
622,2022-06-03,1084,1,37.0
623,2021-12-31,5202,23,237.0
624,2022-06-07,1098,1,29.0
625,2022-03-30,400,1,7.0
626,2021-06-05,62,6,10.0
627,2021-12-15,3598,10,103.0
628,2020-07-09,288,8,29.0
629,2022-07-10,487,1,17.0
630,2022-02-26,107,1,9.0
631,2022-07-02,535,0,21.0
632,2020-12-02,2049,36,107.0
633,2020-08-17,489,3,26.0
634,2020-06-26,219,13,29.0
635,2022-04-22,690,0,15.0
636,2021-07-31,268,5,29.0
637,2021-12-09,1305,8,77.0
638,2021-10-11,320,4,20.0
639,2021-12-07,1158,11,72.0
640,2021-07-09,82,1,7.0
641,2020-10-22,1306,4,66.0
642,2021-12-04,612,4,80.0
643,2021-04-06,859,4,67.0
644,2022-02-19,126,4,10.0
645,2020-05-06,968,44,133.0
646,2021-01-01,266,20,74.0
647,2021-11-29,1463,7,78.0
648,2020-10-16,953,3,40.0
649,2021-01-23,588,9,55.0
650,2022-01-22,1000,20,79.0
651,2022-05-19,1195,1,42.0
652,2020-12-16,1384,25,83.0
653,2020-08-28,382,4,25.0
654,2021-11-13,386,7,30.0
655,2021-01-13,1109,18,64.0
656,2020-12-24,619,21,50.0
657,2021-07-15,133,0,7.0
658,2021-01-22,737,12,50.0
659,2021-02-12,358,13,31.0
660,2021-07-08,76,0,5.0
661,2020-10-06,558,2,29.0
662,2020-08-13,390,4,24.0
663,2020-06-19,219,15,37.0
664,2021-01-04,1878,10,88.0
665,2021-03-25,675,3,35.0
666,2022-01-18,2755,30,143.0
667,2021-03-19,440,2,31.0
668,2022-06-01,1338,3,26.0
669,2021-03-12,349,9,17.0
670,2021-06-01,128,5,23.0
671,2021-07-24,197,0,15.0
672,2021-08-13,625,3,37.0
673,2022-05-13,1272,2,39.0
674,2021-11-16,742,6,41.0
675,2022-06-14,815,0,31.0
676,2022-07-13,904,0,16.0
677,2022-06-30,949,2,18.0
678,2021-11-21,374,3,29.0
679,2021-03-18,423,3,36.0
680,2021-12-18,2748,8,114.0
681,2021-11-26,517,13,46.0
682,2021-05-06,399,9,55.0
683,2021-02-15,258,7,23.0
684,2021-01-29,592,16,44.0
685,2020-12-17,1348,24,90.0
686,2021-09-07,577,3,48.0
687,2020-03-21,125,2,62.0
688,2020-12-07,2065,35,109.0
689,2021-07-14,139,2,7.0
690,2021-11-07,305,5,20.0
691,2020-09-05,203,3,23.0
692,2021-05-11,309,9,36.0
693,2020-11-10,3353,14,141.0
694,2022-01-10,4819,31,216.0
695,2020-12-19,853,24,79.0
696,2021-09-28,384,4,21.0
697,2020-07-28,332,3,17.0
698,2021-01-28,607,10,47.0
699,2021-09-14,495,5,38.0
700,2021-07-07,74,2,7.0
701,2020-08-11,386,4,22.0
702,2022-06-19,482,1,26.0
703,2021-05-07,365,11,38.0
704,2021-12-06,1211,6,77.0
705,2021-01-02,1113,21,63.0
706,2022-04-09,281,1,15.0
707,2021-05-02,230,14,48.0
708,2021-11-20,464,3,43.0
709,2021-06-27,15,1,1.0
710,2021-10-21,337,5,23.0
711,2021-01-03,659,20,67.0
712,2020-11-27,1255,23,136.0
713,2020-09-16,365,4,32.0
714,2021-08-30,596,5,41.0
715,2020-12-13,609,23,72.0
716,2022-02-24,238,4,15.0
717,2021-05-14,289,6,35.0
718,2021-12-24,3930,17,183.0
719,2021-01-20,787,12,59.0
720,2020-05-21,798,34,108.0
721,2021-07-12,103,0,9.0
722,2021-10-05,383,3,20.0
723,2021-04-30,550,9,53.0
724,2022-03-12,86,1,4.0
725,2021-09-05,320,4,29.0
726,2020-11-11,2491,9,128.0
727,2021-12-20,5822,13,134.0
728,2020-07-23,318,3,29.0
729,2021-03-05,291,6,22.0
730,2020-10-25,525,10,43.0
731,2021-11-30,1172,2,52.0
732,2020-09-03,341,3,25.0
733,2021-04-17,438,6,63.0
734,2021-06-02,100,7,16.0
735,2021-05-10,399,6,43.0
736,2020-10-11,300,4,30.0
737,2022-02-21,242,10,19.0
738,2022-01-28,752,23,52.0
739,2020-03-28,248,4,131.0
740,2021-02-16,213,5,33.0
741,2022-03-15,256,0,13.0
742,2021-08-16,587,3,26.0
743,2020-04-05,292,26,146.0
744,2021-04-21,656,8,71.0
745,2021-02-20,213,9,18.0
746,2021-12-03,922,8,72.0
747,2021-07-06,75,2,7.0
748,2021-09-10,515,5,27.0
749,2021-02-07,212,8,40.0
750,2022-04-25,936,0,21.0
751,2021-01-10,495,18,63.0
752,2022-03-06,80,4,10.0
753,2020-11-24,1924,17,122.0
754,2021-01-21,818,10,64.0
