,date,rides,docked_bike,electric_bike,classic_bike,evening,mid_day,morning,night,member,casual,mean_km_between_stations,mean_minutes,mean_ride_distance,tavg,tmin,tmax,prcp,snow,wspd,cases,deaths,hospitalizations
88,2020-06-28,20383.0,20383.0,,,6650.0,9991.0,2451.0,1291.0,9171.0,11212.0,2.357153651479308,37.99478650509412,2.357153651479308,25.1,22.2,28.9,2.8,0.0,9.8,110,5,27.0
89,2020-06-29,9395.0,9395.0,,,2587.0,3838.0,2511.0,459.0,5779.0,3616.0,2.1854833897721617,28.588963987936843,2.1854833897721617,26.2,22.2,33.9,17.5,0.0,11.1,279,7,31.0
90,2020-06-30,14589.0,14589.0,,,6553.0,4699.0,2832.0,505.0,8451.0,6138.0,2.2489065956050087,29.44547604359449,2.2489065956050087,26.7,22.8,31.7,0.0,0.0,10.2,264,3,26.0
91,2020-07-01,15827.0,15827.0,,,6845.0,5380.0,2936.0,666.0,8922.0,6905.0,2.2480280411695714,35.21143299425033,2.2480280411695714,27.0,23.3,31.1,0.0,0.0,14.1,266,13,22.0
92,2020-07-02,16560.0,16560.0,,,6830.0,6079.0,2870.0,781.0,8855.0,7705.0,2.2434765412318622,41.51801429146538,2.2434765412318622,27.2,22.2,32.2,0.0,0.0,11.1,256,6,25.0
93,2020-07-03,20296.0,20296.0,,,6744.0,9220.0,3161.0,1171.0,8998.0,11298.0,2.355242002158228,41.408696294836425,2.355242002158228,27.0,20.6,31.7,0.0,0.0,8.4,174,5,29.0
94,2020-07-04,19931.0,19931.0,,,6647.0,9072.0,2691.0,1521.0,7522.0,12409.0,2.246469329328435,49.350965832120814,2.246469329328435,27.3,22.2,32.2,0.0,0.0,9.4,63,5,14.0
95,2020-07-05,18538.0,18538.0,,,6222.0,8683.0,2077.0,1556.0,7435.0,11103.0,2.1769901024369593,61.48661488114504,2.1769901024369593,28.2,22.8,32.2,0.0,0.0,9.2,89,3,16.0
96,2020-07-06,14826.0,14826.0,,,6478.0,5010.0,2632.0,706.0,7947.0,6879.0,2.1736764699067255,44.59035253383695,2.1736764699067255,29.7,24.4,34.4,0.0,0.0,6.5,282,5,31.0
97,2020-07-07,14450.0,14450.0,,,6351.0,4583.0,2967.0,549.0,8269.0,6181.0,2.183071796166942,35.84834486735871,2.183071796166942,29.7,23.9,34.4,0.3,0.0,12.0,341,4,25.0
98,2020-07-08,15885.0,15885.0,,,7471.0,4888.0,3051.0,475.0,8932.0,6953.0,2.1769800478730668,38.14524499003252,2.1769800478730668,28.0,23.9,33.3,13.2,0.0,6.7,306,4,28.0
99,2020-07-09,14801.0,14801.0,,,6471.0,4735.0,3053.0,542.0,8707.0,6094.0,2.16315789251134,38.86490665045155,2.16315789251134,29.2,22.2,33.9,9.1,0.0,15.8,288,8,29.0
100,2020-07-10,16912.0,16912.0,,,8386.0,5976.0,1688.0,862.0,8729.0,8183.0,2.20737520727696,39.00030057552823,2.20737520727696,25.6,21.1,30.6,10.4,0.0,19.4,344,6,29.0
101,2020-07-11,23072.0,23072.0,,,7711.0,10039.0,3505.0,1817.0,10365.0,12707.0,2.256282957321033,40.22621070272769,2.256282957321033,25.6,21.1,29.4,2.3,0.0,13.2,154,2,19.0
102,2020-07-12,22680.0,22680.0,,,7326.0,11260.0,2526.0,1568.0,9853.0,12827.0,2.242007288265837,49.39427689594356,2.242007288265837,23.1,19.4,26.1,0.0,0.0,15.6,97,4,15.0
103,2020-07-13,16633.0,16625.0,8.0,,7376.0,5555.0,2958.0,744.0,9053.0,7580.0,2.184936198325792,39.82306258642458,2.184936198325792,23.0,17.8,27.2,0.0,0.0,10.0,337,4,33.0
104,2020-07-14,17311.0,17297.0,14.0,,8082.0,5346.0,3223.0,660.0,9685.0,7626.0,2.2300271003323116,32.19093639882156,2.2300271003323116,25.1,19.4,29.4,0.0,0.0,12.6,324,3,23.0
105,2020-07-15,9357.0,9344.0,13.0,,1228.0,4554.0,3121.0,454.0,5870.0,3487.0,2.1826674782792352,32.38138648427203,2.1826674782792352,25.4,20.0,30.6,25.4,0.0,14.3,268,7,23.0
106,2020-07-16,17263.0,17263.0,,,8518.0,5582.0,2656.0,507.0,9765.0,7498.0,2.2495411555973073,35.16462183089073,2.2495411555973073,23.4,20.0,29.4,0.0,0.0,14.8,297,2,28.0
107,2020-07-17,19923.0,19923.0,,,8953.0,6537.0,3216.0,1217.0,10122.0,9801.0,2.2246779478001995,32.796241362579266,2.2246779478001995,26.0,20.0,31.1,0.0,0.0,11.6,324,3,26.0
108,2020-07-18,22991.0,22991.0,,,7100.0,10224.0,3685.0,1982.0,9683.0,13308.0,2.257709457076981,46.519372073130064,2.257709457076981,28.5,24.4,32.8,0.0,0.0,19.2,132,4,15.0
109,2020-07-19,14582.0,14582.0,,,6866.0,4859.0,1044.0,1813.0,6367.0,8215.0,2.023293768500122,43.1535934714031,2.023293768500122,25.8,21.7,28.3,26.2,0.0,19.4,100,2,22.0
110,2020-07-20,16023.0,16023.0,,,6921.0,5303.0,2911.0,888.0,9025.0,6998.0,2.1887553081399647,34.34984709480122,2.1887553081399647,24.7,19.4,30.6,0.0,0.0,11.2,394,5,25.0
111,2020-07-21,12546.0,12546.0,,,4435.0,4530.0,3108.0,473.0,7993.0,4553.0,2.2402129846332643,25.83681120144535,2.2402129846332643,24.2,22.8,27.2,2.8,0.0,12.6,290,1,30.0
112,2020-07-22,17332.0,17332.0,,,8365.0,5200.0,3230.0,537.0,10243.0,7089.0,2.2692528568419776,30.678868566812834,2.2692528568419776,25.4,22.2,30.0,0.5,0.0,14.2,364,4,34.0
113,2020-07-23,18586.0,18586.0,,,8773.0,5729.0,3285.0,799.0,10451.0,8135.0,2.289617097978478,32.516157322716026,2.289617097978478,23.2,18.3,27.2,0.0,0.0,11.0,318,3,29.0
114,2020-07-24,20673.0,20673.0,,,8960.0,7208.0,3241.0,1264.0,10528.0,10145.0,2.2862743432737305,32.57106773730631,2.2862743432737305,24.3,18.9,29.4,0.0,0.0,10.1,346,3,26.0
115,2020-07-25,26410.0,26410.0,,,8827.0,11833.0,3745.0,2005.0,10973.0,15437.0,2.4127728775995174,42.889831503218474,2.4127728775995174,27.0,20.6,32.2,0.0,0.0,9.6,155,8,21.0
116,2020-07-26,19811.0,19811.0,,,6052.0,8929.0,3010.0,1820.0,8595.0,11216.0,2.158631708967298,40.76827772449649,2.158631708967298,29.2,23.9,35.0,1.5,0.0,18.1,96,6,18.0
117,2020-07-27,15074.0,15074.0,,,7315.0,4584.0,2502.0,673.0,8647.0,6427.0,2.1348539513666247,30.538613948962894,2.1348539513666247,25.8,22.2,30.0,8.6,0.0,13.9,362,1,19.0
118,2020-07-28,18182.0,18151.0,31.0,,8625.0,5436.0,3432.0,689.0,10251.0,7931.0,2.243632502202819,32.412642540241265,2.243632502202819,26.0,20.6,31.1,0.0,0.0,14.9,332,3,17.0
119,2020-07-29,15483.0,15196.0,287.0,,6532.0,5009.0,3231.0,711.0,9200.0,6283.0,2.1916916727061913,31.057542681220266,2.1916916727061913,26.4,22.2,32.8,2.8,0.0,17.1,445,3,19.0
120,2020-07-30,17846.0,17101.0,745.0,,8184.0,5779.0,2994.0,889.0,9992.0,7854.0,2.209379630245619,27.94711419926034,2.209379630245619,25.3,22.2,28.3,1.3,0.0,21.4,340,3,17.0
121,2020-07-31,21676.0,20839.0,837.0,,9162.0,7723.0,3397.0,1394.0,11207.0,10469.0,2.2666122488875198,31.66366257612106,2.2666122488875198,23.8,21.1,27.2,0.0,0.0,16.4,392,2,24.0
122,2020-08-01,23256.0,22253.0,1003.0,,5968.0,12221.0,3435.0,1632.0,10317.0,12939.0,2.4000645626905963,39.066807848870546,2.4000645626905963,23.4,18.3,26.1,7.4,0.0,11.3,141,5,22.0
123,2020-08-02,15367.0,14553.0,814.0,,2551.0,9286.0,2996.0,534.0,7557.0,7810.0,2.2185758308078682,38.13196351489122,2.2185758308078682,21.9,18.3,29.4,13.7,0.0,11.6,95,3,21.0
124,2020-08-03,13039.0,12168.0,871.0,,4298.0,5347.0,2838.0,556.0,7856.0,5183.0,2.1064119941577872,30.7369097834701,2.1064119941577872,19.8,18.3,22.8,0.0,0.0,18.0,428,3,30.0
125,2020-08-04,17746.0,16840.0,906.0,,8166.0,6151.0,3014.0,415.0,10562.0,7184.0,2.23704447102592,26.772062248769675,2.23704447102592,19.4,15.0,23.3,0.0,0.0,16.3,369,2,32.0
126,2020-08-05,17856.0,16756.0,1100.0,,7792.0,6075.0,3432.0,557.0,10568.0,7288.0,2.243653812987653,29.213331653225808,2.243653812987653,20.0,13.9,24.4,0.0,0.0,11.2,378,4,20.0
127,2020-08-06,19837.0,18375.0,1462.0,,9267.0,6430.0,3386.0,754.0,11290.0,8547.0,2.2555331377262284,32.15101409823394,2.2555331377262284,22.5,18.3,26.7,0.0,0.0,8.6,349,4,21.0
